latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
216,-103,2762,-107374182,45,2023-04-24 16:26:15.255562
216,-103,3189,-107374182,51,2023-04-24 16:26:15.654249
216,-103,2889,-107374182,51,2023-04-24 16:26:16.042038
216,-103,2611,-107374182,42,2023-04-24 16:26:16.438437
216,-102,2360,-107374182,36,2023-04-24 16:26:16.828900
141,-95,2441,-107374182,24,2023-04-24 16:26:17.325239
229,-97,2459,-107374182,27,2023-04-24 16:26:17.762064
205,-101,2311,-107374182,36,2023-04-24 16:26:18.174998
86,-103,2620,-107374182,45,2023-04-24 16:26:18.554197
86,-103,2810,-107374182,54,2023-04-24 16:26:18.978872
86,-103,2541,-107374182,51,2023-04-24 16:26:19.379449
86,-103,2297,-107374182,42,2023-04-24 16:26:19.747396
86,-103,2076,-107374182,36,2023-04-24 16:26:20.144149
143,-98,2479,-107374182,27,2023-04-24 16:26:20.623695
229,-97,2493,-107374182,27,2023-04-24 16:26:21.073450
162,-100,2308,-107374182,39,2023-04-24 16:26:21.536040
99,-104,2663,-107374182,45,2023-04-24 16:26:21.933870
99,-104,2668,-107374182,54,2023-04-24 16:26:22.346639
99,-104,2411,-107374182,48,2023-04-24 16:26:22.756697
99,-104,2224,-107374182,42,2023-04-24 16:26:23.159891
99,-102,2010,-107374182,33,2023-04-24 16:26:23.571274
234,-94,2543,-107374182,24,2023-04-24 16:26:24.054097
292,-97,2579,-107374182,30,2023-04-24 16:26:24.500978
274,-103,2404,-107374182,39,2023-04-24 16:26:24.941648
136,-103,3183,-107374182,48,2023-04-24 16:26:25.345231
136,-103,3329,-107374182,54,2023-04-24 16:26:25.739976
136,-103,3009,-107374182,48,2023-04-24 16:26:26.157826
