raw latency,RSSI,filtered latency,TIMESTAMP,Drop?
1260,-104,2133,219.08537599999545,0
1132,-90,2064,219.43547399999807,0
1582,-102,1996,219.79102299999795,0
1312,-103,1958,220.15655799999513,0
1660,-91,1913,220.51006499999494,0
2982,-104,1955,220.86508099999628,0
2503,-100,2013,221.23732399999426,0
2452,-93,2056,221.58061599999928,0
1956,-101,2059,221.8960769999976,0
1800,-92,2049,222.22137799999473,0
1616,-104,2002,222.49705499999982,0
1336,-95,1956,222.86097999999765,0
1416,-97,1890,223.21447400000034,0
1650,-102,1859,223.5472660000014,0
1820,-90,1866,223.93174899999576,0
932,-103,1800,224.27508999999554,0
2320,-102,1781,224.66592200000014,0
2612,-93,1893,225.13754199999676,0
2480,-90,1950,225.61198599999625,0
2382,-100,1995,226.00044799999887,0
2012,-103,1996,226.38811300000089,0
2076,-93,2009,226.7831309999965,0
1316,-98,1941,227.11976599999616,0
1400,-101,1895,227.46916000000056,0
1782,-92,1880,227.81923000000097,0
1900,-101,1877,228.15938099999767,0
2063,-98,1861,228.5212309999988,0
3181,-90,2019,228.9460360000012,0
1512,-96,1995,229.41426199999842,0
2142,-105,1954,229.79340799999773,0
2172,-94,1976,230.09170299999823,0
1640,-103,1950,230.39146999999502,0
1740,-96,1938,230.69177800000034,0
2022,-102,1943,231.01959299999726,0
1800,-101,1942,231.35363900000084,0
1972,-90,1947,231.707524999998,0
1400,-102,1911,232.04055599999992,0
1712,-94,1892,232.37423399999534,0
1946,-98,1893,232.72765799999615,0
1370,-103,1846,233.09066699999676,0
1560,-89,1818,233.43346799999563,0
2062,-104,1807,233.70829399999639,0
1872,-91,1813,234.01406699999643,0
1530,-102,1789,234.25035399999615,0
2412,-91,1806,234.5921939999971,0
2050,-102,1851,234.91906599999493,0
2392,-101,1883,235.3034520000001,0
3059,-91,2010,235.6911970000001,0
3552,-101,2095,236.0343539999958,0
1862,-98,2145,236.37784499999543,0
1622,-95,2100,236.7049349999943,0
1166,-103,2045,237.01660999999876,0
1360,-91,1991,237.37519999999495,0
1626,-102,1951,237.66842799999722,0
1996,-93,1948,237.96836199999962,0
1756,-99,1944,238.29997599999479,0
3036,-98,1981,238.62809199999901,0
3933,-92,2139,238.97400599999673,0
1552,-103,2177,239.32788900000014,0
1420,-98,2126,239.70172199999797,0
1902,-98,2078,240.02302200000122,0
1616,-103,2041,240.41861000000063,0
980,-100,1967,240.8445589999974,0
1560,-92,1888,241.1752720000004,0
1806,-101,1878,241.49123500000132,0
1462,-89,1855,241.82387599999493,0
1272,-104,1812,242.13036699999793,0
2032,-93,1807,242.45377400000143,0
2722,-100,1869,242.81763499999943,0
2156,-102,1918,243.18101699999534,0
1556,-89,1904,243.53650899999775,0
1890,-101,1880,243.86831600000005,0
1402,-101,1860,244.24395399999776,0
1762,-90,1833,244.60204199999862,0
1660,-102,1813,244.9974000000002,0
2146,-103,1828,245.4601629999961,0
2072,-100,1863,245.92642999999953,0
1268,-90,1852,246.32082999999693,0
4255,-97,1993,246.73533699999825,0
1232,-104,2069,247.10135199999786,0
1592,-96,2021,247.55237299999862,0
